,Genre,Same_test,Same_training,Switch_test,Switch_train
4,Early Music,7.196029776674938,61.29032258064516,22.58064516129032,8.933002481389577
2,Choral,21.108179419525065,64.16886543535621,12.928759894459102,1.7941952506596308
9,Romantic,11.616472034419175,74.55439459127227,12.620364679368981,1.2087686949395615
1,Baroque,17.80701754385965,73.1140350877193,8.135964912280702,0.9429824561403508
5,Minimal,25.555555555555554,67.77777777777779,6.666666666666667,0.0
8,Renaissance,16.05960264900662,74.95860927152319,3.9321192052980134,5.049668874172186
3,Classical Period,77.60497667185071,17.573872472783826,3.8880248833592534,0.9331259720062209
7,Orchestral,11.792086889061288,84.3289371605896,3.491078355314197,0.3878975950349108
6,Opera,12.69961977186312,83.67553865652725,3.244613434727503,0.38022813688212925
0,Avant-Garde,10.2803738317757,87.85046728971963,1.8691588785046727,0.0
